pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos5_x,pos5_y,pos6_x,pos6_y,thisN,thisTrialN,thisRepN,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,key_next_1.keys,key_next_1.rt,key_next_1.duration,position_loop.thisRepN,position_loop.thisTrialN,position_loop.thisN,position_loop.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,0,0,0,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,8.997962873996585,None,0,0,0,1,0,0,0,3,1.4400109999987762,,1.4400109999987762,space,8.997962873996585,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,1,1,0,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,2.7519284159934614,None,0,0,0,1,0,1,1,4,10.603542333003134,,10.603542333003134,space,2.7519284159934614,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,2,2,0,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,4.966300415995647,None,0,0,0,1,0,2,2,1,13.672912833004375,,13.672912833004375,space,4.966300415995647,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,3,3,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,4.441257498998311,None,0,0,0,1,0,3,3,0,18.895132292003836,,18.895132292003836,space,4.441257498998311,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,4,4,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,4.046771499997703,None,0,0,0,1,0,4,4,2,23.623254999998608,,23.623254999998608,space,4.046771499997703,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.0,-0.35,-0.55,0.0,0.55,0.0,0.55,-0.35,-0.55,-0.35,0.0,0.0,0,0,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,2.6559967909997795,None,0,1,1,3,0,0,0,2,27.93123179199756,,27.93123179199756,space,2.6559967909997795,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.0,-0.35,-0.55,0.0,0.55,0.0,0.55,-0.35,-0.55,-0.35,0.0,0.0,1,1,0,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,1.0555028739909176,None,0,1,1,3,0,1,1,1,30.85432004199538,,30.85432004199538,space,1.0555028739909176,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
0.0,-0.35,-0.55,0.0,0.55,0.0,0.55,-0.35,-0.55,-0.35,0.0,0.0,2,2,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.36044645799847785,None,0,1,1,3,0,2,2,0,32.11751729200478,,32.11751729200478,space,0.36044645799847785,None,,001,2025-06-27_09h16.04.351,pilot_study,,2025.1.1,2025-06-27 09h16.06.900719 -0400,
