img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,thisN,thisTrialN,thisRepN,key_next_1.keys,key_next_1.rt,key_next_1.duration,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q4.jpg,768,1024,0.3,0.4,resources/images/medium/med_S4_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S4_3.jpg,350,197,0.35,0.197,resources/images/medium/med_S4_4.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_5.jpg,768,1024,0.2625,0.35,resources/images/medium/med_T4.jpg,768,1024,0.2625,0.35,0,0,0,space,6.998520458000712,None,0,0,0,3,2.280378124996787,,2.280378124996787,space,6.998520458000712,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q3.jpg,1024,768,0.4,0.3,resources/images/medium/med_S3_1.jpg,350,233,0.35,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_4.jpg,350,341,0.35,0.341,resources/images/medium/med_S3_5.jpg,3264,1840,0.35,0.197303922,resources/images/medium/med_T3.jpg,1024,768,0.35,0.2625,1,1,0,space,8.711315540989744,None,0,1,1,2,9.446311084000627,,9.446311084000627,space,8.711315540989744,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q1.jpg,4032,3024,0.4,0.3,resources/images/medium/med_S1_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S1_2.jpg,4032,3024,0.35,0.2625,resources/images/medium/med_S1_3.jpg,4160,2340,0.35,0.196875,resources/images/medium/med_S1_4.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S1_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T1.jpg,1024,768,0.35,0.2625,2,2,0,space,49.41085612500319,None,0,2,2,0,18.61563387500064,,18.61563387500064,space,49.41085612500319,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q2.jpg,1024,768,0.4,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S2_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S2_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S2_4.jpg,350,234,0.35,0.234,resources/images/medium/med_S2_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T2.jpg,4032,2268,0.35,0.196875,3,3,0,space,2.613452082994627,None,0,3,3,1,68.215423792004,,68.215423792004,space,2.613452082994627,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q5.jpg,1024,768,0.4,0.3,resources/images/medium/med_S5_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S5_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S5_3.jpg,2592,4608,0.196875,0.35,resources/images/medium/med_S5_4.jpg,350,208,0.35,0.208,resources/images/medium/med_S5_5.jpg,350,233,0.35,0.233,resources/images/medium/med_T5.jpg,768,1024,0.2625,0.35,4,4,0,space,4.697021665997454,None,0,4,4,4,71.01537449999887,,71.01537449999887,space,4.697021665997454,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q2.jpg,1024,768,0.4,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S2_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S2_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S2_4.jpg,350,234,0.35,0.234,resources/images/medium/med_S2_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T2.jpg,4032,2268,0.35,0.196875,5,0,1,space,2.8012175409967313,None,1,0,5,1,75.88716549999663,,75.88716549999663,space,2.8012175409967313,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q5.jpg,1024,768,0.4,0.3,resources/images/medium/med_S5_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S5_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S5_3.jpg,2592,4608,0.196875,0.35,resources/images/medium/med_S5_4.jpg,350,208,0.35,0.208,resources/images/medium/med_S5_5.jpg,350,233,0.35,0.233,resources/images/medium/med_T5.jpg,768,1024,0.2625,0.35,6,1,1,space,1.0046132080024108,None,1,1,6,4,78.8732583749952,,78.8732583749952,space,1.0046132080024108,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q4.jpg,768,1024,0.3,0.4,resources/images/medium/med_S4_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S4_3.jpg,350,197,0.35,0.197,resources/images/medium/med_S4_4.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_5.jpg,768,1024,0.2625,0.35,resources/images/medium/med_T4.jpg,768,1024,0.2625,0.35,7,2,1,space,0.810615581998718,None,1,2,7,3,79.96794858400244,,79.96794858400244,space,0.810615581998718,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
resources/images/medium/med_Q3.jpg,1024,768,0.4,0.3,resources/images/medium/med_S3_1.jpg,350,233,0.35,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_4.jpg,350,341,0.35,0.341,resources/images/medium/med_S3_5.jpg,3264,1840,0.35,0.197303922,resources/images/medium/med_T3.jpg,1024,768,0.35,0.2625,8,3,1,space,0.629333165998105,None,1,3,8,2,80.9117256669997,,80.9117256669997,space,0.629333165998105,None,,001,2025-06-27_11h17.20.398,pilot_study,,2025.1.1,2025-06-27 11h17.55.715195 -0400,
