spreadsheet_to_match,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,001,2025-06-30_10h04.14.783,pilot_study,,2025.1.1,2025-06-30 10h04.33.105314 -0400,
,,,,,,,,,,y,0.836987249989761,None,,001,2025-06-30_10h04.14.783,pilot_study,,2025.1.1,2025-06-30 10h04.33.105314 -0400,
C:/Users/Salwa/Desktop/GIT CODES/colorStudyPilot/resources/image_match_hard.xlsx,0,0,0,0,0,0,1,,,,,,,,,,,,,
