set_img,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,test.started,image.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,001,2025-06-27_12h48.40.622,pilot_study,,2025.1.1,2025-06-27 12h48.43.827311 -0400,
resources/images/QUERY1.jpg,0,0,0,0,0,0,1,1.255590916989604,,1.2450330419960665,1.255590916989604,,,,,,,,
