img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,thisN,thisTrialN,thisRepN,key_next_1.keys,key_next_1.rt,key_next_1.duration,imp_query,imp_query_w,imp_query_h,imp_query_disp_w,imp_query_disp_h,imp1,imp1_w,imp1_h,imp1_disp_w,imp1_disp_h,imp2,imp2_w,imp2_h,imp2_disp_w,imp2_disp_h,imp3,imp3_w,imp3_h,imp3_disp_w,imp3_disp_h,imp4,imp4_w,imp4_h,imp4_disp_w,imp4_disp_h,imp5,imp5_w,imp5_h,imp5_disp_w,imp5_disp_h,imp_targ,imp_targ_w,imp_targ_h,imp_targ_disp_w,imp_targ_disp_h,key_next_I.keys,key_next_I.rt,key_next_I.duration,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,impTrial.thisRepN,impTrial.thisTrialN,impTrial.thisN,impTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,key_next_I.started,impTrial.key_next_I.keys,impTrial.key_next_I.rt,impTrial.key_next_I.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
resources/images/medium/med_Q3.jpg,1024,768,0.4,0.3,resources/images/medium/med_S3_1.jpg,350,233,0.35,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_4.jpg,350,341,0.35,0.341,resources/images/medium/med_S3_5.jpg,3264,1840,0.35,0.197303922,resources/images/medium/med_T3.jpg,1024,768,0.35,0.2625,0,0,0,space,3.715538165997714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,3.93168195799808,,3.93168195799808,space,3.715538165997714,None,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
resources/images/medium/med_Q4.jpg,768,1024,0.3,0.4,resources/images/medium/med_S4_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S4_3.jpg,350,197,0.35,0.197,resources/images/medium/med_S4_4.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_5.jpg,768,1024,0.2625,0.35,resources/images/medium/med_T4.jpg,768,1024,0.2625,0.35,1,1,0,space,1.1280725410033483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,7.743721833001473,,7.743721833001473,space,1.1280725410033483,None,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
resources/images/medium/med_Q2.jpg,1024,768,0.4,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S2_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S2_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S2_4.jpg,350,234,0.35,0.234,resources/images/medium/med_S2_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T2.jpg,4032,2268,0.35,0.196875,2,2,0,space,1.0574945419939468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,9.052322207993711,,9.052322207993711,space,1.0574945419939468,None,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
resources/images/medium/med_Q5.jpg,1024,768,0.4,0.3,resources/images/medium/med_S5_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S5_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S5_3.jpg,2592,4608,0.196875,0.35,resources/images/medium/med_S5_4.jpg,350,208,0.35,0.208,resources/images/medium/med_S5_5.jpg,350,233,0.35,0.233,resources/images/medium/med_T5.jpg,768,1024,0.2625,0.35,3,3,0,space,0.5111725830065552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,10.34245166600158,,10.34245166600158,space,0.5111725830065552,None,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
resources/images/medium/med_Q1.jpg,4032,3024,0.4,0.3,resources/images/medium/med_S1_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S1_2.jpg,4032,3024,0.35,0.2625,resources/images/medium/med_S1_3.jpg,4160,2340,0.35,0.196875,resources/images/medium/med_S1_4.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S1_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T1.jpg,1024,768,0.35,0.2625,4,4,0,space,0.5972608330048388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,11.309730958004366,,11.309730958004366,space,0.5972608330048388,None,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,resources/images/impossible/imp_Q5.jpg,1024,768,0.4,0.3,resources/images/impossible/imp_S5_1.jpg,1024,768,0.35,0.2625,resources/images/impossible/imp_S5_2.jpg,764,1024,0.261132813,0.35,resources/images/impossible/imp_S5_3.jpg,350,233,0.35,0.233,resources/images/impossible/imp_S5_4.jpg,1024,768,0.35,0.1875,resources/images/impossible/imp_S5_5.jpg,350,233,0.35,0.233,resources/images/impossible/imp_T5.jpg,1024,768,0.35,0.2625,space,3.698598332994152,None,,,,,0,0,0,4,13.997250375003205,,,,,,13.997250375003205,space,3.698598332994152,None,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,resources/images/impossible/imp_Q2.jpg,3024,4032,0.3,0.4,resources/images/impossible/imp_S2_1.jpg,350,224,0.35,0.224,resources/images/impossible/imp_S2_2.JPEG,3840,2160,0.35,0.196875,resources/images/impossible/imp_S2_3.jpg,768,1024,0.2625,0.35,resources/images/impossible/imp_S2_4.jpg,350,233,0.35,0.166428571,resources/images/impossible/imp_S2_5.jpg,768,1024,0.2625,0.35,resources/images/impossible/imp_T2.jpg,4032,3024,0.35,0.2625,space,4.144849542004522,None,,,,,0,1,1,1,18.09644345799461,,,,,,18.09644345799461,space,4.144849542004522,None,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,resources/images/impossible/imp_Q3.jpg,3840,2160,0.4,0.225,resources/images/impossible/imp_S3_1.JPEG,1920,1080,0.35,0.196875,resources/images/impossible/imp_S3_2.jpg,5344,3006,0.35,0.196875,resources/images/impossible/imp_S3_3.JPEG,3840,2160,0.35,0.196875,resources/images/impossible/imp_S3_4.JPEG,3840,2160,0.35,0.140625,resources/images/impossible/imp_S3_5.JPEG,3840,2160,0.35,0.196875,resources/images/impossible/imp_T3.jpg,2160,3840,0.196875,0.35,space,12.38386091699067,None,,,,,0,2,2,2,22.906026041004225,,,,,,22.906026041004225,space,12.38386091699067,None,,001,2025-06-27_12h12.14.806,pilot_study,,2025.1.1,2025-06-27 12h13.03.069039 -0400,
