set_img,correct,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,001,2025-06-27_14h58.34.063,pilot_study,,2025.1.1,2025-06-27 14h58.45.435629 -0400,
resources/images/m3.jpg,3,0,0,0,0,0,0,2,1.7981239999935497,,,,,,,,,
