spreadsheet_to_match,thisN,thisTrialN,thisRepN,set_img,correct,key_easy.keys,key_easy.corr,key_easy.rt,key_easy.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_hard.keys,key_hard.corr,key_hard.rt,key_hard.duration,set_img2,correct2,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsEasy.thisRepN,trialsEasy.thisTrialN,trialsEasy.thisN,trialsEasy.thisIndex,trialsMed.thisRepN,trialsMed.thisTrialN,trialsMed.thisN,trialsMed.thisIndex,trialsHard.thisRepN,trialsHard.thisTrialN,trialsHard.thisN,trialsHard.thisIndex,trialsImp.thisRepN,trialsImp.thisTrialN,trialsImp.thisN,trialsImp.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,trialsEasy.key_easy.keys,trialsEasy.key_easy.corr,trialsEasy.key_easy.rt,trialsEasy.key_easy.duration,trialsMed.key_resp.keys,trialsMed.key_resp.corr,trialsMed.key_resp.rt,trialsMed.key_resp.duration,trialsHard.key_hard.keys,trialsHard.key_hard.corr,trialsHard.key_hard.rt,trialsHard.key_hard.duration,imp_sets.started,imp_sets.stopped,trialsImp.key_resp2.keys,trialsImp.key_resp2.corr,trialsImp.key_resp2.rt,trialsImp.key_resp2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,1,1,0,resources/images/m1.jpg,3,,,,,3,1,0.23289329098770395,None,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,13.58292258300935,,,,,,,,,3,1,0.23289329098770395,None,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,2,2,0,resources/images/m4.jpg,6,,,,,5,0,0.11828029100433923,None,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,14.853289124992443,,,,,,,,,5,0,0.11828029100433923,None,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,3,3,0,resources/images/m3.jpg,3,,,,,1,0,0.3080724159954116,None,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,16.005658167006914,,,,,,,,,1,0,0.3080724159954116,None,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,4,4,0,resources/images/m5.jpg,4,,,,,2,0,0.02115145800053142,None,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,17.358170124993194,,,,,,,,,2,0,0.02115145800053142,None,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,0,0,0,resources/images/hard/hard_5.png,2,,,,,,,,,3,0,0.3048057069827337,None,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,20.465029332990525,,,,,,,,,,,,,3,0,0.3048057069827337,None,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,1,1,0,resources/images/hard/hard_2.png,2,,,,,,,,,4,0,0.3419491660024505,None,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,21.88481191699975,,,,,,,,,,,,,4,0,0.3419491660024505,None,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,2,2,0,resources/images/hard/hard_1.png,5,,,,,,,,,3,0,0.3567591249884572,None,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,23.324763625016203,,,,,,,,,,,,,3,0,0.3567591249884572,None,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,3,3,0,resources/images/hard/hard_4.png,4,,,,,,,,,1,0,0.31593924897606485,None,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,24.785943249997217,,,,,,,,,,,,,1,0,0.31593924897606485,None,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,4,4,0,resources/images/hard/hard_3.png,1,,,,,,,,,2,0,0.40216849898570217,None,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,26.208767208008794,,,,,,,,,,,,,2,0,0.40216849898570217,None,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,0,0,0,,,,,,,,,,,,,,,resources/images/i2.jpg,1,1,1,0.8232267079874873,None,,,,,,,,,,,,,,,,,0,0,0,1,29.650170125009026,,,,,,,,,,,,,,,,,29.64606649999041,30.47472020800342,1,1,0.8232267079874873,None,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,1,1,0,,,,,,,,,,,,,,,resources/images/i4.jpg,3,2,0,0.5080490410036873,None,,,,,,,,,,,,,,,,,0,1,1,3,31.513438624999253,,,,,,,,,,,,,,,,,31.509484667010838,32.023800666996976,2,0,0.5080490410036873,None,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,2,2,0,,,,,,,,,,,,,,,resources/images/i1.jpg,2,3,0,0.4814910819986835,None,,,,,,,,,,,,,,,,,0,2,2,0,33.05783429200528,,,,,,,,,,,,,,,,,33.053816250001546,33.541193917015335,3,0,0.4814910819986835,None,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,3,3,0,,,,,,,,,,,,,,,resources/images/i3.jpg,4,2,0,0.48830912497942336,None,,,,,,,,,,,,,,,,,0,3,3,2,34.57877358299447,,,,,,,,,,,,,,,,,34.574655458010966,35.0661745420075,2,0,0.48830912497942336,None,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,4,4,0,,,,,,,,,,,,,,,resources/images/i5.jpg,5,3,0,0.4404271249950398,None,,,,,,,,,,,,,,,,,0,4,4,4,36.09757179199369,,,,,,,,,,,,,,,,,36.09441404201789,36.54124070800026,3,0,0.4404271249950398,None,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
