spreadsheet_to_match,thisN,thisTrialN,thisRepN,set_img,correct,key_easy.keys,key_easy.corr,key_easy.rt,key_easy.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_hard.keys,key_hard.corr,key_hard.rt,key_hard.duration,set_img2,correct2,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsEasy.thisRepN,trialsEasy.thisTrialN,trialsEasy.thisN,trialsEasy.thisIndex,trialsMed.thisRepN,trialsMed.thisTrialN,trialsMed.thisN,trialsMed.thisIndex,trialsHard.thisRepN,trialsHard.thisTrialN,trialsHard.thisN,trialsHard.thisIndex,trialsImp.thisRepN,trialsImp.thisTrialN,trialsImp.thisN,trialsImp.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,trialsEasy.key_easy.keys,trialsEasy.key_easy.corr,trialsEasy.key_easy.rt,trialsEasy.key_easy.duration,trialsMed.key_resp.keys,trialsMed.key_resp.corr,trialsMed.key_resp.rt,trialsMed.key_resp.duration,trialsHard.key_hard.keys,trialsHard.key_hard.corr,trialsHard.key_hard.rt,trialsHard.key_hard.duration,imp_sets.started,imp_sets.stopped,trialsImp.key_resp2.keys,trialsImp.key_resp2.corr,trialsImp.key_resp2.rt,trialsImp.key_resp2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,0.6799259159888607,None,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
resources/image_match_hard.xlsx,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,1.9594082499970682,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,0,0,0,resources/images/easy/easy_2.png,5,4,0,0.7318953319918364,None,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,3.3072050829941873,,,,,4,0,0.7318953319918364,None,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,1,1,0,resources/images/easy/easy_1.png,6,4,0,0.21930058300495148,None,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,5.144555958017008,,,,,4,0,0.21930058300495148,None,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,2,2,0,resources/images/easy/easy_4.png,1,3,0,0.18351429101312533,None,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,6.466079375008121,,,,,3,0,0.18351429101312533,None,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,3,3,0,resources/images/easy/easy_5.png,5,3,0,0.19503416601219214,None,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,7.748787916993024,,,,,3,0,0.19503416601219214,None,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,4,4,0,resources/images/easy/easy_3.png,3,2,0,0.12486979100503959,None,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,9.043058875016868,,,,,2,0,0.12486979100503959,None,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
,0,0,0,resources/images/m2.jpg,1,,,,,4,0,0.31337799900211394,None,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,12.230401458014967,,,,,,,,,4,0,0.31337799900211394,None,,,,,,,,,,,,001,2025-06-30_10h34.44.238,pilot_study,,2025.1.1,2025-06-30 10h34.47.973395 -0400,
