thisRow.t,notes,consent.started,ask_consent.started,consent.stopped,consent_key.keys,consent_key.rt,consent_key.duration,stealing_its_code_1.started,top_left_img.started,top_mid_img.started,top_right_img.started,bott_right_img.started,bott_mid_img.started,bott_left_img.started,ref_img.started,stealing_its_code_1.stopped,selecting_img_mouse.x,selecting_img_mouse.y,selecting_img_mouse.leftButton,selecting_img_mouse.midButton,selecting_img_mouse.rightButton,selecting_img_mouse.time,selecting_img_mouse.corr,selecting_img_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-25_10h37.48.171,pilot_study,,2025.1.1,2025-06-25 10h37.53.384539 -0400,
,,1.9151075420668349,1.9266515830531716,3.6363098330330104,y,1.7032929179258645,None,,,,,,,,,,,,,,,,,,pilot,001,2025-06-25_10h37.48.171,pilot_study,,2025.1.1,2025-06-25 10h37.53.384539 -0400,
,,,,,,,,3.6363668750273064,3.6571769170695916,3.6571769170695916,3.6571769170695916,3.6571769170695916,3.6571769170695916,3.6571769170695916,3.6571769170695916,5.875797542044893,[np.float64(0.021666666666666667)],[np.float64(-0.01)],[1],[0],[0],[2.2380279999924824],[0],['top_mid_img'],pilot,001,2025-06-25_10h37.48.171,pilot_study,,2025.1.1,2025-06-25 10h37.53.384539 -0400,
