pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos5_x,pos5_y,pos6_x,pos6_y,thisN,thisTrialN,thisRepN,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,key_next_1.keys,key_next_1.rt,key_next_1.duration,position_loop.thisRepN,position_loop.thisTrialN,position_loop.thisN,position_loop.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,0,0,0,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,0.9646027489943663,None,0,0,0,2,0,0,0,4,32.97207758401055,,32.97207758401055,space,0.9646027489943663,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,1,1,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,1.077603583005839,None,0,0,0,2,0,1,1,2,34.31787429199903,,34.31787429199903,space,1.077603583005839,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,2,2,0,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,0.5119050409994088,None,0,0,0,2,0,2,2,3,35.499939209010336,,35.499939209010336,space,0.5119050409994088,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,3,3,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.4188682910025818,None,0,0,0,2,0,3,3,0,36.22814416700567,,36.22814416700567,space,0.4188682910025818,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,4,4,0,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.49126708300900646,None,0,0,0,2,0,4,4,1,36.924397459006286,,36.924397459006286,space,0.49126708300900646,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,5,0,1,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.47517179101123475,None,0,0,0,2,1,0,5,0,37.65087845901144,,37.65087845901144,space,0.47517179101123475,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,6,1,1,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.29056300000229385,None,0,0,0,2,1,1,6,1,38.37934958400729,,38.37934958400729,space,0.29056300000229385,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,7,2,1,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,0.31347799899231177,None,0,0,0,2,1,2,7,4,38.813937042010366,,38.813937042010366,space,0.31347799899231177,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,8,3,1,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,0.3336717910133302,None,0,0,0,2,1,3,8,3,39.20050600000832,,39.20050600000832,space,0.3336717910133302,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,9,4,1,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,0.2721544990054099,None,0,0,0,2,1,4,9,2,39.80000724999991,,39.80000724999991,space,0.2721544990054099,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,10,0,2,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.1645870409993222,None,0,0,0,2,2,0,10,1,40.32098012500501,,40.32098012500501,space,0.1645870409993222,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
0.55,0.0,0.0,-0.35,0.55,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,11,1,2,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,0.2605733739910647,None,0,0,0,2,2,1,11,4,40.623777542001335,,40.623777542001335,space,0.2605733739910647,None,,001,2025-06-27_09h55.56.865,pilot_study,,2025.1.1,2025-06-27 09h56.07.126110 -0400,
