thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,001,2025-06-30_10h02.21.660,pilot_study,,2025.1.1,2025-06-30 10h02.26.737728 -0400,
,,y,1.118472373986151,None,,001,2025-06-30_10h02.21.660,pilot_study,,2025.1.1,2025-06-30 10h02.26.737728 -0400,
