pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos5_x,pos5_y,pos6_x,pos6_y,thisN,thisTrialN,thisRepN,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,key_next_1.keys,key_next_1.rt,key_next_1.duration,position_loop.thisRepN,position_loop.thisTrialN,position_loop.thisN,position_loop.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,0,0,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,1.8622544989921153,None,0,0,0,4,0,0,0,2,5.99019783399126,,5.99019783399126,space,1.8622544989921153,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,1,1,0,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.6797009580041049,None,0,0,0,4,0,1,1,1,8.163173916997039,,8.163173916997039,space,0.6797009580041049,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,2,2,0,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,0.46097104100044817,None,0,0,0,4,0,2,2,3,8.934859749992029,,8.934859749992029,space,0.46097104100044817,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,3,3,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.28268729100818746,None,0,0,0,4,0,3,3,0,9.598734667000826,,9.598734667000826,space,0.28268729100818746,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,4,4,0,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,0.15203729098720942,None,0,0,0,4,0,4,4,4,10.03069924999727,,10.03069924999727,space,0.15203729098720942,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,5,0,1,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.05416179100575391,None,0,0,0,4,1,0,5,0,10.361606541991932,,10.361606541991932,space,0.05416179100575391,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,6,1,1,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.22910291599691845,None,0,0,0,4,1,1,6,1,10.653841916995589,,10.653841916995589,space,0.22910291599691845,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,7,2,1,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,0.07734250000794418,None,0,0,0,4,1,2,7,4,11.024380959002883,,11.024380959002883,space,0.07734250000794418,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,8,3,1,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,0.174957583003561,None,0,0,0,4,1,3,8,2,11.354269874995225,,11.354269874995225,space,0.174957583003561,None,,001,2025-06-27_09h57.56.519,pilot_study,,2025.1.1,2025-06-27 09h57.59.814564 -0400,
