set_img,correct,thisN,thisTrialN,thisRepN,key_easy.keys,key_easy.corr,key_easy.rt,key_easy.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_hard.keys,key_hard.corr,key_hard.rt,key_hard.duration,set_img2,correct2,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.duration,trialsEasy.thisRepN,trialsEasy.thisTrialN,trialsEasy.thisN,trialsEasy.thisIndex,trialsMed.thisRepN,trialsMed.thisTrialN,trialsMed.thisN,trialsMed.thisIndex,trialsHard.thisRepN,trialsHard.thisTrialN,trialsHard.thisN,trialsHard.thisIndex,trialsImp.thisRepN,trialsImp.thisTrialN,trialsImp.thisN,trialsImp.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,trialsEasy.key_easy.keys,trialsEasy.key_easy.corr,trialsEasy.key_easy.rt,trialsEasy.key_easy.duration,trialsMed.key_resp.keys,trialsMed.key_resp.corr,trialsMed.key_resp.rt,trialsMed.key_resp.duration,trialsHard.key_hard.keys,trialsHard.key_hard.corr,trialsHard.key_hard.rt,trialsHard.key_hard.duration,imp_sets.started,imp_sets.stopped,trialsImp.key_resp2.keys,trialsImp.key_resp2.corr,trialsImp.key_resp2.rt,trialsImp.key_resp2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
resources/images/hard/hard_5.png,2,1,1,0,,,,,,,,,4,0,4.96283516701078,None,,,,,,,,,,,,,,,0,1,1,4,,,,,69.16716170898871,,,,,,,,,,,,,4,0,4.96283516701078,None,,,,,,,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
resources/images/hard/hard_4.png,4,2,2,0,,,,,,,,,5,0,10.075918249989627,None,,,,,,,,,,,,,,,0,2,2,3,,,,,75.2279813339992,,,,,,,,,,,,,5,0,10.075918249989627,None,,,,,,,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
resources/images/hard/hard_2.png,2,3,3,0,,,,,,,,,6,0,5.302585042023566,None,,,,,,,,,,,,,,,0,3,3,1,,,,,86.39938254197477,,,,,,,,,,,,,6,0,5.302585042023566,None,,,,,,,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
resources/images/hard/hard_3.png,1,4,4,0,,,,,,,,,5,0,3.5012506669736467,None,,,,,,,,,,,,,,,0,4,4,2,,,,,92.79758758397656,,,,,,,,,,,,,5,0,3.5012506669736467,None,,,,,,,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,0,0,0,,,,,,,,,,,,,resources/images/i3.jpg,4,2,0,2.117398417001823,None,,,,,,,,,,,,,0,0,0,2,99.3411818339955,,,,,,,,,,,,,,,,,99.33737062499858,101.46702237499994,2,0,2.117398417001823,None,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,1,1,0,,,,,,,,,,,,,resources/images/i1.jpg,2,5,0,3.2666578339994885,None,,,,,,,,,,,,,0,1,1,0,102.50626704198658,,,,,,,,,,,,,,,,,102.50212499999907,105.77013079199241,5,0,3.2666578339994885,None,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,2,2,0,,,,,,,,,,,,,resources/images/i5.jpg,5,1,0,3.9263963749981485,None,,,,,,,,,,,,,0,2,2,4,106.80615962497541,,,,,,,,,,,,,,,,,106.80211287498241,110.73576233399217,1,0,3.9263963749981485,None,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,3,3,0,,,,,,,,,,,,,resources/images/i4.jpg,3,2,0,1.64393808299792,None,,,,,,,,,,,,,0,3,3,3,111.77321487499285,,,,,,,,,,,,,,,,,111.76899462498841,113.41976712498581,2,0,1.64393808299792,None,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
,,4,4,0,,,,,,,,,,,,,resources/images/i2.jpg,1,1,1,1.3814200829947367,None,,,,,,,,,,,,,0,4,4,1,114.45373887498863,,,,,,,,,,,,,,,,,114.44943333399715,115.83505295898067,1,1,1.3814200829947367,None,,001,2025-06-30_14h35.54.961,pilot_study,,2025.1.1,2025-06-30 14h36.01.677499 -0400,
