set_img,correct
resources/images/4_matches/easy_1.png,2
resources/images/4_matches/easy_2.png,3
resources/images/4_matches/easy_3.png,3
resources/images/4_matches/easy_4.png,1
resources/images/4_matches/easy_5.png,4
